student_id,program_name,student_id,Fall_Math_rit_score,Spring_Math_rit_score,Score_Changes,Goal,Goal_Change,Percentage_Kept
10600,Gifted,10600,228,229,1,233,5,No
11512,Gifted,11512,223,227,4,228,5,No
12260,Gifted,12260,237,247,10,240,3,Yes
13023,Gifted,13023,227,226,-1,231,4,No
13566,Gifted,13566,220,228,8,224,4,Yes
13834,Gifted,13834,245,251,6,248,3,Yes
13939,Gifted,13939,217,231,14,227,10,Yes
13984,Gifted,13984,243,239,-4,246,3,No
14635,Gifted,14635,211,218,7,217,6,Yes
14981,Gifted,14981,231,252,21,235,4,Yes
15308,Gifted,15308,225,224,-1,230,5,No
15312,Gifted,15312,234,232,-2,238,4,No
16067,Gifted,16067,213,230,17,223,10,Yes
16479,Gifted,16479,234,249,15,237,3,Yes
17380,Gifted,17380,230,255,25,234,4,Yes
17875,Gifted,17875,199,210,11,210,11,Yes
18573,Gifted,18573,223,232,9,228,5,Yes
18796,Gifted,18796,224,213,-11,228,4,No
18998,Gifted,18998,228,238,10,233,5,Yes
19085,Gifted,19085,237,239,2,240,3,No
19547,Gifted,19547,213,215,2,223,10,No
19885,Gifted,19885,244,241,-3,247,3,No
19944,Gifted,19944,199,204,5,209,10,No
20027,Gifted,20027,228,246,18,238,10,Yes
20430,Gifted,20430,210,220,10,220,10,Yes
21147,Gifted,21147,214,219,5,220,6,No
21393,Gifted,21393,243,252,9,247,4,Yes
22604,Gifted,22604,223,242,19,233,10,Yes
22796,Gifted,22796,252,248,-4,255,3,No
24408,Gifted,24408,222,227,5,227,5,Yes
26181,Gifted,26181,225,236,11,235,10,Yes
